genres,app_name,release_date,price,id,developer
"['Simulation', 'Indie', 'Casual', 'Action', 'Strategy']",lost summoner kitty,2018,4.99,761140,Kotoshiro
"['Design & Illustration', 'Card Game', 'Dark Fantasy', 'Board Game', 'Trading Card Game', 'Turn-Based', 'Free to Play', 'Replay Value', 'Indie', 'Fantasy', 'Female Protagonist', 'Difficult', 'Strategy', 'Tactical', 'Competitive', 'PvP', 'RPG', '2D', 'Character Customization']",ironbound,2018,0.0,643980,Secret Level SRL
"['Simulation', 'Indie', 'Sports', 'Casual', 'Multiplayer', 'Free to Play']",real pool 3d - poolians,2017,0.0,670290,Poolians.com
"['Adventure', 'Action', 'Casual']",弹炸人2222,2017,0.99,767400,彼岸领域
"['Simulation', 'FPS', 'Sniper', 'Third Person', 'Shooter', 'Third-Person Shooter', 'Adventure', 'Action']",battle royale trainer,2018,3.99,772540,Trickjump Games Ltd
"['Simulation', 'Indie', 'Sports', 'Free to Play']",snow - all access basic pass,2018,9.99,774276,Poppermost Productions
"['Simulation', 'Indie', 'Sports', 'Free to Play']",snow - all access pro pass,2018,18.98,774277,Poppermost Productions
"['Simulation', 'Indie', 'Sports', 'Free to Play']",snow - all access legend pass,2018,29.98,774278,Poppermost Productions
"['Indie', 'Casual', 'RPG', 'Adventure', 'Action']",army of tentacles: (not) a cthulhu dating sim: black goat of the woods edition,2018,10.99,770380,Stegalosaurus Game Development
"['Indie', 'Casual', 'Pixel Graphics', '2D', 'Cute']",beach rules,2018,3.99,768880,Copperpick Studio
"['Simulation', 'Indie', 'Casual']",planetarium 2 - zen odyssey,2018,2.99,765320,Ghulam Jewel
"['Simulation', 'Indie', 'Physics', 'Science', 'Casual', 'Adventure', 'Strategy']",the first thrust of god,2018,1.59,773650,Apillo
"['Simulation', 'Indie', 'Sports', 'Free to Play']",snow - starter pack,2018,14.99,774271,Poppermost Productions
"['Simulation', 'Indie', 'Physics', 'Science', 'Casual', 'Adventure', 'Strategy']",the first thrust of god - all aircrafts,2018,1.99,773690,Apillo
"['Simulation', 'Indie', 'Sports', 'Free to Play']",snow - lifetime pack,2018,60.0,774279,Poppermost Productions
"['Adventure', 'Indie', 'Action']",the warrior of treasures,2018,0.99,768060,Tero Lunkka
"['Simulation', 'Racing', 'Sports']",rc plane 3 - canyon scenario,2017,2.99,775880,FrozenPepper
"['Simulation', 'Racing', 'Sports']",rc plane 3 - f-53b,2017,2.99,775881,FrozenPepper
"['Indie', 'Action']",dinoblaster,2018,4.99,653960,Casey Labrack
"['Indie', 'Gore', 'Racing', 'Singleplayer', ""1990's"", 'Multiplayer', 'Classic', 'Action']",carmageddon max pack,1997,9.99,282010,Stainless Games Ltd
"['Singleplayer', 'Action', 'Great Soundtrack', 'Linear', 'Atmospheric', 'Silent Protagonist', 'Sci-fi', 'Multiplayer', 'Adventure', 'Funny', 'Difficult', ""1990's"", 'Retro', 'First-Person', 'Story Rich', 'FPS', 'Moddable', 'Shooter', 'Aliens', 'Classic']",half-life,1998,9.99,70,Valve
"['Indie', 'RPG', 'Action']",fallen mage,2016,1.99,752360,dev4play
"['Simulation', 'Indie', 'Casual']",vaporwave simulator,2018,0.99,766850,ETGgames
"['Adventure', 'RPG', 'Action']",underdone - soundtrack,2018,8.99,754360,The Commander
"['Indie', 'Casual', 'Clicker', 'RPG', 'Adventure']",bitcoin clicker,2018,0.99,716110,"lalalaZero,Urbanoff"
"['Fantasy', 'Great Soundtrack', 'Tactical', 'Gothic', 'Turn-Based Strategy', 'Dark Fantasy', 'Atmospheric', 'RPG', 'Multiplayer', 'Turn-Based', 'Classic', 'Isometric', 'Strategy']",disciples ii: gallean's return,2006,6.99,1640,Strategy First
"['Fantasy', 'Turn-Based Strategy', 'Dark Fantasy', 'Atmospheric', 'RPG', 'Turn-Based', 'Classic', 'Strategy']",disciples ii: rise of the elves,2006,6.99,1630,Strategy First
"['Stylized', 'Comedy', 'Singleplayer', 'Mystery', 'Action', 'Simulation', 'Survival', 'Stealth', 'Multiplayer', 'Adventure', 'Replay Value', 'Funny', 'Indie', 'Assassin', 'Difficult', 'First-Person', 'Strategy', 'FPS', 'RPG', 'Shooter']",the ship: murder party,2006,9.99,2400,Outerlight Ltd.
"['Indie', 'Early Access', 'Pixel Graphics', 'Action', 'Strategy']",souland,2017,7.99,759920,Ultraint
"['Adventure', 'Indie', 'RPG', 'Action']",tarotica voo doo,2017,10.99,603280,TPM.CO SOFT WORKS
"['Building', 'Casual', 'Base Building', 'Early Access', 'City Builder', 'Economy', 'Strategy']",chronicles of vinland,2017,9.99,753110,Wonderbox Games
"['Indie', 'Action']",orbitality,2017,9.99,753100,Wonderbox Games
"['Adventure', 'Action', 'Casual']",atomic adam: episode 1,2017,1.99,764280,Mad Unicorn Games
"['Adventure', 'Indie', 'Casual', 'Free to Play']",mirt. tales of the cold land. chapter 2,2017,0.99,758550,Emanon Studios
"['Great Soundtrack', 'Sci-fi', 'Singleplayer', 'Third-Person Shooter', 'Action', 'Story Rich']",advent rising,2005,9.99,3800,GlyphX Games
"['Simulation', 'Indie', 'War', 'Wargame', 'RTS', 'Diplomacy', 'Tactical', 'Great Soundtrack', 'Cold War', 'Atmospheric', 'Singleplayer', 'Psychological Horror', 'Multiplayer', '2D', 'Real-Time with Pause', 'Strategy']",defcon,2006,9.99,1520,Introversion Software
"['Indie', 'FPS', 'Singleplayer', 'RPG', 'Action']",the ship: single player,2006,9.99,2420,Outerlight Ltd.
"['Building', 'Comedy', 'Singleplayer', 'Massively Multiplayer', 'Action', 'Simulation', 'Physics', 'Co-op', 'Multiplayer', 'Adventure', 'Online Co-Op', 'Funny', 'Indie', 'First-Person', 'FPS', 'Moddable', 'Animation & Modeling', 'Shooter', 'Sandbox', 'Mod']",garry's mod,2006,9.99,4000,Facepunch Studios
"['Simulation', 'Racing']",race - the wtcc game,2006,40.0,4230,SimBin
"['Puzzle', 'Indie', 'Casual']",zen of sudoku,2006,0.0,4900,Unknown Worlds Entertainment
"['Singleplayer', 'Indie', 'Casual']",gumboy - crazy adventures™,2006,4.99,2520,"CINEMAX, s.r.o."
"['Simulation', 'Horror', 'Tactical', 'Great Soundtrack', 'Comedy', 'Singleplayer', 'Classic', 'Puzzle', 'Sandbox', 'Funny', 'Strategy']",ghost master®,2003,4.99,6200,Sick Puppies
"['Simulation', 'Management', 'Strategy']",vegas: make it big™,2006,4.99,6210,Deepred
"['Fantasy', 'Great Soundtrack', 'Futuristic', 'Female Protagonist', 'Atmospheric', 'Sci-fi', 'Singleplayer', 'RPG', 'Third Person', 'Cyberpunk', 'Adventure', 'Story Rich']",dreamfall: the longest journey,2006,19.98,6300,Funcom
"['Simulation', 'Great Soundtrack', 'Physics', 'Comedy', 'Racing', 'Music', 'Casual', 'Destruction', 'Atmospheric', 'Singleplayer', 'Driving', 'Multiplayer', 'Classic', 'Arcade', 'Action', 'Funny']",flatout 2™,2006,9.99,2990,Bugbear Entertainment
"['Great Soundtrack', 'Racing', 'Destruction', 'Singleplayer', 'Driving', 'Multiplayer', 'Classic', 'Arcade', 'Action', 'Funny']",flatout,2005,7.49,6220,Bugbear Entertainment
"['Mechs', 'Robots', 'Atmospheric', 'Sci-fi', 'Third Person', 'Shooter', 'Multiplayer', 'Third-Person Shooter', 'Adventure', 'Action']",lost planet™: extreme condition,2007,14.99,6510,"CAPCOM Co., Ltd."
"['Simulation', 'City Builder', 'Rome', 'Strategy']",civcity: rome,2006,9.99,3980,"FireFly Studios,Firaxis Games"
"['Fantasy', 'Dark Fantasy', 'Underground', 'Exploration', 'Atmospheric', 'Singleplayer', 'RPG', 'First-Person', 'Classic', 'Adventure', 'Action', 'Story Rich']",arx fatalis,2002,4.99,1700,Arkane Studios
"['Fantasy', 'Great Soundtrack', 'Futuristic', 'Puzzle', 'Female Protagonist', 'Point & Click', 'Atmospheric', 'Sci-fi', 'Singleplayer', 'RPG', 'Cyberpunk', 'Third Person', 'Classic', 'Adventure', 'Action', 'Funny', 'Story Rich']",the longest journey,2000,9.99,6310,Funcom
"['Turn-Based Strategy', 'Historical', 'Turn-Based', '4X', 'Strategy']",civilization iv®: warlords,2006,4.99,3990,Firaxis Games
"['Simulation', 'Economy', 'Singleplayer', 'Management', 'Classic', 'Trains', 'Real-Time with Pause', 'Strategy']",railroad tycoon 3,2003,9.99,7610,PopTop
"['Simulation', 'Strategy', 'Casual', 'Singleplayer', 'Management', 'Multiplayer', 'Classic', 'Trains', 'Real-Time with Pause', 'Economy']",sid meier's railroads!,2006,9.99,7600,"Firaxis Games,Feral Interactive (Mac)"
"['Simulation', 'Singleplayer', 'Management', 'Classic', 'Trains', 'Economy', 'Strategy']",railroad tycoon ii platinum,1998,4.99,7620,PopTop
"['Indie', 'Casual', 'Top-Down', 'Singleplayer', 'Shooter', '2D', 'Arcade', 'Action']",rip - trilogy™,2007,4.99,2540,Elephant Games
"['Underwater', 'Horror', 'Tactical', 'Turn-Based Strategy', 'Turn-Based Tactics', 'Base Building', 'Sci-fi', 'Difficult', 'Management', 'Singleplayer', 'Aliens', 'Turn-Based', 'Classic', 'Lovecraftian', 'Isometric', 'Strategy']",x-com: terror from the deep,1995,4.99,7650,"MicroProse Software, Inc"
"['Remake', 'Puzzle', 'Lara Croft', 'Female Protagonist', 'Action-Adventure', 'Dinosaurs', '3D Vision', 'Platformer', 'Singleplayer', 'Third Person', 'Parkour', 'Shooter', 'Third-Person Shooter', 'Classic', 'Adventure', 'Action']",tomb raider: anniversary,2007,8.99,8000,"Crystal Dynamics,Feral Interactive (Mac)"
"['Stylized', 'Comedy', 'Character Action Game', 'Singleplayer', 'Third Person', 'Demons', 'Controller', 'Spectacle fighter', 'Action', 'Great Soundtrack', 'Atmospheric', ""Beat 'em up"", 'Adventure', 'Funny', 'Fantasy', 'Hack and Slash', 'Difficult', 'Story Rich', 'Horror', 'Classic']",devil may cry® 3 special edition,2006,19.98,6550,"CAPCOM Co., Ltd."
"['Episodic', 'Point & Click', 'Comedy', 'Detective', 'Adventure', 'Mystery', 'Action', 'Funny']",sam & max 101: culture shock,2006,19.98,8200,Telltale Games
"['Gore', 'Singleplayer', 'Demons', 'Zombies', 'Action', 'Great Soundtrack', 'Atmospheric', 'Sci-fi', 'Multiplayer', 'Online Co-Op', 'Retro', ""1990's"", 'Difficult', 'First-Person', 'Horror', 'FPS', 'Moddable', 'Shooter', 'Classic']",final doom,1996,4.99,2290,id Software
"['Adventure', 'Action']",sam & max 102: situation: comedy,2006,19.98,8210,Telltale Games
